,x,y,pen_down
0,169.74636440426454,255.6674200397233,True
1,170.05691778699222,256.57443968235765,True
2,170.37587631869155,257.47853745421895,True
3,170.69471705414895,258.38267716714535,True
4,171.02541511635383,259.2825459986102,True
5,171.39104524325538,260.1687826061217,True
6,171.77426635518884,261.0475690291376,True
7,172.1846458173819,261.9139970185138,True
8,172.62710588462727,262.7644604556663,True
9,173.1113837933385,263.5918045756994,True
10,173.6370756978086,264.39351943565583,True
11,174.18262857713475,265.18183562134726,True
12,174.75292844601483,265.9524026817253,True
13,175.35370263436263,266.6993846578875,True
14,175.9914331985562,267.4151109476486,True
15,176.66007630269846,268.1020863642822,True
16,177.35385857182456,268.76371426285164,True
17,178.06504586657078,269.4065672443508,True
18,178.80150881920906,270.02035568244247,True
19,179.55283632968417,270.6158680732924,True
20,180.31532323714228,271.1970212906778,True
21,181.08758317647545,271.7651158275768,True
22,181.87124103465175,272.31736518246794,True
23,182.66118077395828,272.8606075068035,True
24,183.46570713834836,273.38191221227527,True
25,184.28154413102783,273.8853768625738,True
26,185.0995986985007,274.38529153440857,True
27,185.92474930383898,274.8733422958611,True
28,186.7554530011275,275.3519264716798,True
29,187.59511896752173,275.8144990745865,True
30,188.4421663861255,276.2635011512234,True
31,189.291009396548,276.70913929488955,True
32,190.14457667498357,277.14556436394867,True
33,191.00330609286192,277.57182853214874,True
34,191.8659397130678,277.9901078556897,True
35,192.73395794147666,278.3970723020302,True
36,193.60659793200787,278.7940776955262,True
37,194.4815165220752,279.18605123158113,True
38,195.36046068101007,279.5687575047569,True
39,196.24640943955222,279.9350938624634,True
40,197.13598515992953,280.2925288244194,True
41,198.030472336713,280.6373710852051,True
42,198.9326078352765,280.96173949223476,True
43,199.84019114096915,281.2706305319556,True
44,200.74983815584156,281.57339265375737,True
45,201.66093340270356,281.87176938967434,True
46,202.57091334017286,282.1734424216569,True
47,203.48832063911038,282.4518150165809,True
48,204.40670376059856,282.72694245573575,True
49,205.32851144075633,282.99037652515,True
50,206.253385188327,283.2428375849319,True
51,207.1769908623441,283.4998981685037,True
52,208.1044707708614,283.7425870497072,True
53,209.04074455713092,283.9485229844522,True
54,209.9752835143079,284.1624213258773,True
55,210.9171767027413,284.3407394398251,True
56,211.85934271556997,284.5180802384685,True
57,212.80661185756952,284.66535654045896,True
58,213.7531710614033,284.8174922526362,True
59,214.70521109016278,284.9296997754995,True
60,215.65538809221974,285.05724526528024,True
61,216.60964994151817,285.1492609090481,True
62,217.56344411930746,285.2461170150644,True
63,218.51907224495682,285.3228314678416,True
64,219.47354743653318,285.41284930760594,True
65,220.42783495195204,285.50480801903444,True
66,221.38324199281575,285.5829770072591,True
67,222.34041622534625,285.63723268517913,True
68,223.2980135540983,285.67968437088354,True
69,224.2566099130238,285.687251350272,True
70,225.2152990834528,285.68079525160033,True
71,226.17339930318948,285.6535931244744,True
72,227.13097673581132,285.6069726474268,True
73,228.08892564052007,285.569295551544,True
74,229.0455108628258,285.5081849900711,True
75,230.0017975770732,285.4401001389991,True
76,230.95681125249487,285.35642878886716,True
77,231.91297457551272,285.2870781223163,True
78,232.86652488941692,285.188592907761,True
79,233.82005924884675,285.08910405995465,True
80,234.7676365329193,284.9441844798447,True
81,235.71557488296293,284.8008762691284,True
82,236.65612067964952,284.6155078296773,True
83,237.5977697928065,284.4354533399822,True
84,238.53101326900784,284.2162108876089,True
85,239.4562749178532,283.96531158255044,True
86,240.37102853124063,283.6785364401578,True
87,241.2835377888991,283.38450789096987,True
88,242.18887745907034,283.0691903494837,True
89,243.08993435502978,282.74176118174404,True
90,243.98565030565283,282.40001577603095,True
91,244.864764485392,282.01792961853727,True
92,245.74026886147982,281.62726450249386,True
93,246.60177542959468,281.2068970699165,True
94,247.4472621202301,280.7551344125767,True
95,248.2810375785197,280.2819899306282,True
96,249.1039695680131,279.7902276650088,True
97,249.90237053190435,279.2599590122595,True
98,250.67831130976808,278.69710659930246,True
99,251.43404958378315,278.1073869686102,True
100,252.17605482572458,277.5003555560704,True
101,252.90477511079638,276.87746587344714,True
102,253.61507684693817,276.2337337459414,True
103,254.30561715507005,275.56882879154796,True
104,254.9754334343691,274.8830707073143,True
105,255.62404085075727,274.17721268534126,True
106,256.2494804331317,273.4507831534952,True
107,256.8503217980098,272.7038816961169,True
108,257.4241561350991,271.93607735178483,True
109,257.97654298709017,271.1525631871912,True
110,258.5019003868501,270.3509082828816,True
111,258.99859903737934,269.53100389448855,True
112,259.4764389083048,268.69991242751985,True
